"","MSE_OPF_SE","MSE_OPF_TADDA1","MSE_ensemble_cm","MSE_No_Change","MTADDA1_OPF_SE","MTADDA1_OPF_TADDA1","TADDA_ensemble_cm","MTADDA1_No_Change"
"s2",0.487,0.556,0.504,0.674,0.357,0.335,0.371,0.34
"s3",0.525,0.614,0.551,0.773,0.368,0.348,0.379,0.365
"s4",0.556,0.647,0.579,0.841,0.372,0.358,0.394,0.391
"s5",0.587,0.668,0.548,0.807,0.388,0.366,0.381,0.375
"s6",0.629,0.717,0.573,0.841,0.399,0.381,0.386,0.384
"s7",0.664,0.741,0.599,0.864,0.41,0.385,0.4,0.389
"colmean",0.575,0.657,0.559,0.8,0.382,0.362,0.385,0.374
